Time,Tag,Reader,Antenna,rssi
08:56.8,10200C0YLE000A07PT5,Adpter,4,-67
08:56.8,10200C0YLE000A07PT5,Adpter,4,-67
08:56.8,10200C0YLE000A07PT5,Adpter,4,-67.5
08:56.8,10200C0YLE000A07PT5,Adpter,4,-67
08:57.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-67.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-68
08:57.0,10200C0YLE000A07PT5,Adpter,4,-65.5
08:57.0,10200C0YLE000A07PT5,Adpter,4,-65.5
08:57.3,10200C0YLE000A07PT5,Adpter,4,-65
08:59.0,10200C0YLE000A07PT5,Adpter,4,-65.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67
08:59.0,10200C0YLE000A07PT5,Adpter,4,-69
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-65.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-65.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-66.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-69
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-69.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-67.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.0,1000C0Y7LE000A07Q72,Adpter,4,-66
08:59.0,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.0,1000C0Y7LE000A07Q72,Adpter,4,-68
08:59.0,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.0,1000C0Y7LE000A07Q72,Adpter,4,-68.5
08:59.0,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.1,1000C0Y7LE000A07Q72,Adpter,4,-69
08:59.1,1000C0Y7LE000A07Q72,Adpter,4,-68
08:59.1,10200C0YLE000A07PT5,Adpter,4,-65
08:59.1,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.1,1000C0Y7LE000A07Q72,Adpter,4,-69.5
08:59.1,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.1,1000C0Y7LE000A07Q72,Adpter,4,-68
08:59.1,10200C0YLE000A07PT5,Adpter,4,-64.5
08:59.1,1000C0Y7LE000A07Q72,Adpter,4,-68.5
08:59.1,10200C0YLE000A07PT5,Adpter,4,-65
