Time,Tag,Reader,Antenna,rssi
38:26.8,10200C0YLE000A07QB9,Adpter,3,-67.5
38:31.3,1000C0Y7LE000A07QP9,Adpter,3,-66.5
38:31.5,1000C0Y7LE000A07QP9,Adpter,3,-67
38:48.3,10004C0YLE000A07QD8,Adpter,3,-63.5
38:48.3,10004C0YLE000A07QD8,Adpter,3,-63.5
38:49.0,1000C0Y7LE000A07Q78,Adpter,3,-66.5
38:49.0,1000C0YLE9000A07Q04,Adpter,3,-66
38:49.0,10200C0YLE000A07PT5,Adpter,3,-66.5
38:49.0,1000C0Y7LE000A07PY0,Adpter,3,-66
38:49.0,1000C0Y7LE000A07Q78,Adpter,3,-67
38:49.0,10200C0YLE000A07PT5,Adpter,3,-66
38:49.0,1000C0Y7LE000A07PY0,Adpter,3,-65.5
38:49.0,1000C0Y7LE000A07QP4,Adpter,3,-67
38:49.0,1000C0Y7LE000A07Q78,Adpter,3,-66.5
38:49.0,1000C0YLE9000A07Q04,Adpter,3,-65
38:49.0,10200C0YLE000A07PT5,Adpter,3,-65.5
38:49.0,10200C0YLE000A07PT5,Adpter,3,-65.5
38:49.0,1000C50YLE000A07PW1,Adpter,3,-66.5
38:49.3,10200C0YLE000A07QB8,Adpter,3,-67
38:49.3,10200C0YLE000A07QB8,Adpter,3,-65.5
38:49.3,10200C0YLE000A07QB8,Adpter,3,-65
38:49.3,10200C0YLE000A07QB8,Adpter,3,-64.5
38:49.3,10200C0YLE000A07QB9,Adpter,3,-64
38:49.5,1000C50YLE000A07QE8,Adpter,3,-66.5
38:49.8,10004C0YLE000A07QM8,Adpter,3,-66
38:49.8,10004C0YLE000A07QM8,Adpter,3,-65
38:49.8,10004C0YLE000A07QM8,Adpter,3,-59.5
38:49.8,10004C0YLE000A07QM8,Adpter,3,-59
38:49.8,10004C0YLE000A07QM8,Adpter,3,-62
38:49.8,1000C0Y7LE000A07QG6,Adpter,3,-63
38:49.8,10004C0YLE000A07QM7,Adpter,3,-61
38:49.8,1000C0Y7LE000A07QG6,Adpter,3,-62
38:49.8,10004C0YLE000A07QM8,Adpter,3,-62
38:49.8,10004C0YLE000A07QM7,Adpter,3,-61.5
38:50.0,1000C0Y7LE000A07QG6,Adpter,3,-60
38:50.0,1000C50YLE000A07PW6,Adpter,3,-64.5
38:50.0,10200C0YLE000A07QB8,Adpter,3,-63
38:50.0,10004C0YLE000A07QM7,Adpter,3,-61.5
38:50.0,10004C0YLE000A07QM8,Adpter,3,-61
38:50.0,1000C0Y7LE000A07QG9,Adpter,3,-64.5
38:50.0,10030C0YLE000A07QC6,Adpter,3,-67
38:50.0,1000C50YLE000A07PW6,Adpter,3,-66
38:50.0,10004C0YLE000A07QM8,Adpter,3,-60
38:50.0,1000C0Y7LE000A07QG9,Adpter,3,-63.5
38:50.0,1000C0Y7LE000A07QG6,Adpter,3,-59
38:50.0,10200C0YLE000A07QB8,Adpter,3,-63
38:50.0,10004C0YLE000A07QM7,Adpter,3,-61
38:50.0,10030C0YLE000A07QC6,Adpter,3,-66.5
38:50.0,10004C0YLE000A07QM8,Adpter,3,-57.5
38:50.0,10200C0YLE000A07QB8,Adpter,3,-62.5
38:50.0,1000C50YLE000A07PW6,Adpter,3,-64
38:50.0,10004C0YLE000A07QM9,Adpter,3,-63
38:50.0,10004C0YLE000A07QM7,Adpter,3,-60.5
38:50.0,1000C50YLE000A07PW3,Adpter,3,-65
38:50.0,1000C50YLE000A07QE5,Adpter,3,-64.5
38:50.0,1000C0Y7LE000A07QG6,Adpter,3,-58
38:50.0,1000C0Y7LE000A07QG9,Adpter,3,-61
38:50.0,10200C0YLE000A07QB9,Adpter,3,-60
38:50.0,11000C0YLE000A07QJ6,Adpter,3,-66.5
38:50.0,11000C0YLE000A07QJ7,Adpter,3,-64
38:50.0,10004C0YLE000A07QD7,Adpter,3,-66.5
38:50.0,1000C06YLE000A07QF5,Adpter,3,-65.5
38:50.0,1000C0Y7LE000A07QG6,Adpter,3,-57.5
38:50.0,10004C0YLE000A07QM7,Adpter,3,-60.5
38:50.0,10200C0YLE000A07QB9,Adpter,3,-60
38:50.0,1000C50YLE000A07PW3,Adpter,3,-62.5
38:50.0,1000C50YLE000A07QE8,Adpter,3,-63
38:50.0,10004C0YLE000A07QM8,Adpter,3,-56.5
38:50.0,10200C0YLE000A07QB8,Adpter,3,-60
38:50.0,1000C0Y7LE000A07QG9,Adpter,3,-60.5
38:50.0,10004C0YLE000A07QM9,Adpter,3,-61
38:50.0,10004C0YLE000A07QD7,Adpter,3,-63.5
38:50.0,10030C0YLE000A07QC6,Adpter,3,-66.5
38:50.1,1000C50YLE000A07PW3,Adpter,3,-58
38:50.1,1000C50YLE000A07PW0,Adpter,3,-64
38:50.1,10004C0YLE000A07QM8,Adpter,3,-53.5
38:50.1,1000C0Y7LE000A07QG9,Adpter,3,-59.5
38:50.1,10200C0YLE000A07QB8,Adpter,3,-59.5
38:50.1,1000C50YLE000A07PW1,Adpter,3,-58
38:50.1,10004C0YLE000A07QD7,Adpter,3,-60.5
38:50.1,10200C0YLE000A07QB9,Adpter,3,-56
38:50.1,10004C0YLE000A07QD9,Adpter,3,-63
38:50.1,1000C50YLE000A07QE8,Adpter,3,-59.5
38:50.1,1000C0Y7LE000A07QG6,Adpter,3,-56.5
38:50.1,10004C0YLE000A07QM9,Adpter,3,-57
38:50.1,1000C0YLE9000A07Q95,Adpter,3,-62
38:50.1,1000C0YLE9000A07Q00,Adpter,3,-63
38:50.1,10004C0YLE000A07QM7,Adpter,3,-61
38:50.1,10200C0YLE000A07QK9,Adpter,3,-62.5
38:50.1,10004C0YLE000A07QD8,Adpter,3,-57.5
38:50.1,1000C50YLE000A07PW6,Adpter,3,-64.5
38:50.1,1000C50YLE000A07PW3,Adpter,3,-55.5
38:50.1,10004C0YLE000A07QM9,Adpter,3,-56.5
38:50.1,1000C0Y7LE000A07QG6,Adpter,3,-56.5
38:50.1,10004C0YLE000A07QD8,Adpter,3,-57
38:50.1,1000C0Y7LE000A07QG9,Adpter,3,-58.5
38:50.1,10004C0YLE000A07QM8,Adpter,3,-52.5
38:50.1,1000C50YLE000A07QE8,Adpter,3,-58
38:50.1,1000C0YLE9000A07Q95,Adpter,3,-59.5
38:50.1,10004C0YLE000A07QM7,Adpter,3,-61
38:50.1,10200C0YLE000A07QB9,Adpter,3,-55.5
38:50.1,10004C0YLE000A07QD7,Adpter,3,-59
38:50.1,1000C50YLE000A07PW0,Adpter,3,-64
38:50.1,1000C06YLE000A07QF5,Adpter,3,-61.5
38:50.1,1000C50YLE000A07PW1,Adpter,3,-57
38:50.1,10200C0YLE000A07QB8,Adpter,3,-59
38:50.1,10004C0YLE000A07QD9,Adpter,3,-61
38:50.1,10200C0YLE000A07QK9,Adpter,3,-63.5
38:50.3,10200C0YLE000A07QB9,Adpter,3,-53
38:50.3,10004C0YLE000A07QD7,Adpter,3,-55
38:50.3,10004C0YLE000A07QM8,Adpter,3,-50.5
38:50.3,1000C0Y7LE000A07QG6,Adpter,3,-56
38:50.3,1000C06YLE000A07QF5,Adpter,3,-59.5
38:50.3,1000C0YLE9000A07Q96,Adpter,3,-64.5
38:50.3,10004C0YLE000A07QM7,Adpter,3,-59.5
38:50.3,10004C0YLE000A07QM9,Adpter,3,-53.5
38:50.3,1000C50YLE000A07PW1,Adpter,3,-53
38:50.3,1000C50YLE000A07QE9,Adpter,3,-60.5
38:50.3,1000C50YLE000A07QE8,Adpter,3,-55
38:50.3,10200C0YLE000A07PT5,Adpter,3,-62.5
38:50.3,10030C0YLE000A07QC6,Adpter,3,-64.5
38:50.3,1000C06YLE000A07QF1,Adpter,3,-60
38:50.3,1000C50YLE000A07PW6,Adpter,3,-63.5
38:50.3,10004C0YLE000A07QD8,Adpter,3,-53
38:50.3,1000C50YLE000A07PW3,Adpter,3,-49.5
38:50.3,10200C0YLE000A07QK9,Adpter,3,-60
38:50.3,1000C50YLE000A07PW2,Adpter,3,-56.5
38:50.3,1000C0Y7LE000A07Q76,Adpter,3,-60.5
38:50.3,10200C0YLE000A07QB8,Adpter,3,-58.5
38:50.3,1000C0Y7LE000A07QG9,Adpter,3,-56
38:50.3,1000C0Y7LE000A07PY6,Adpter,3,-64.5
38:50.3,1000C50YLE000A07PW0,Adpter,3,-61
38:50.3,1000C0YLE9000A07QI3,Adpter,3,-61.5
38:50.3,1000C0YLE9000A07QI2,Adpter,3,-62
