Time,Tag,Reader,Antenna,rssi
50:53.2,10004C0YLE000A07QM9,Adpter,4,-68.5
50:53.7,10004C0YLE000A07QM8,Adpter,4,-65
50:53.7,10004C0YLE000A07QM9,Adpter,4,-67
50:53.9,10004C0YLE000A07QM7,Adpter,4,-68.5
50:54.2,1000C06YLE000A07PX5,Adpter,4,-64.5
50:54.2,10200C0YLE000A07QB8,Adpter,4,-66
50:54.2,11000C0YLE000A07QA6,Adpter,4,-65
50:54.2,10004C0YLE000A07QM8,Adpter,4,-67.5
50:54.2,10004C0YLE000A07QM8,Adpter,4,-67.5
50:54.2,10200C0YLE000A07QB8,Adpter,4,-66
50:54.2,10200C0YLE000A07QB9,Adpter,4,-65.5
50:54.2,10004C0YLE000A07QM8,Adpter,4,-68
50:54.2,10200C0YLE000A07QB8,Adpter,4,-66
50:54.2,1000C50YLE000A07QN1,Adpter,4,-68
50:54.2,10200C0YLE000A07QB8,Adpter,4,-65.5
50:54.2,10200C0YLE000A07QB9,Adpter,4,-66
50:54.2,10004C0YLE000A07QM9,Adpter,4,-69
50:54.2,10200C0YLE000A07QB8,Adpter,4,-68.5
50:54.2,10004C0YLE000A07QM8,Adpter,4,-66.5
50:54.2,10004C0YLE000A07QM9,Adpter,4,-67
50:54.2,10200C0YLE000A07QB8,Adpter,4,-69.5
50:54.4,10004C0YLE000A07QM8,Adpter,4,-64.5
50:54.4,10004C0YLE000A07QM9,Adpter,4,-65
50:54.4,10004C0YLE000A07QM9,Adpter,4,-65
50:54.4,10004C0YLE000A07QM8,Adpter,4,-65
50:54.4,10004C0YLE000A07QM6,Adpter,4,-65
50:54.4,1000C50YLE000A07QN0,Adpter,4,-65.5
50:54.4,10004C0YLE000A07QM8,Adpter,4,-62.5
50:54.4,10004C0YLE000A07QM4,Adpter,4,-66
50:54.4,10004C0YLE000A07QM7,Adpter,4,-64
50:54.4,10004C0YLE000A07QM8,Adpter,4,-62
50:54.4,1000C06YLE000A07Q64,Adpter,4,-69.5
50:54.4,1000C50YLE000A07QE6,Adpter,4,-69
50:54.4,10004C0YLE000A07QM9,Adpter,4,-65
50:54.4,10004C0YLE000A07QM7,Adpter,4,-64.5
50:54.4,10200C0YLE000A07QB8,Adpter,4,-69.5
50:54.4,10004C0YLE000A07QM8,Adpter,4,-61
50:54.7,1000C50YLE000A07QE6,Adpter,4,-69.5
50:54.7,10004C0YLE000A07QM6,Adpter,4,-68
50:54.7,10004C0YLE000A07QM7,Adpter,4,-63
50:54.7,10004C0YLE000A07QM4,Adpter,4,-64
50:54.7,10004C0YLE000A07QM9,Adpter,4,-60
50:54.7,10200C0YLE000A07QB8,Adpter,4,-65.5
50:54.7,1000C50YLE000A07QN0,Adpter,4,-67.5
50:54.7,10004C0YLE000A07QM8,Adpter,4,-59.5
50:54.7,10004C0YLE000A07QM9,Adpter,4,-60.5
50:54.7,10004C0YLE000A07QM7,Adpter,4,-64
50:54.7,10004C0YLE000A07QM8,Adpter,4,-59.5
50:54.7,10004C0YLE000A07QM4,Adpter,4,-66.5
