,Tag,Reader,Antenna,rssi
25:04.8,11000C0YLE000A07PS4,Adpter,3,-64
25:04.8,11000C0YLE000A07PS1,Adpter,3,-56
25:04.8,10030C0YLE000A07QL6,Adpter,3,-62
25:04.8,10030C0YLE000A07QC6,Adpter,3,-60
25:04.8,1000C0Y7LE000A07Q78,Adpter,3,-53.5
25:04.8,1000C0Y7LE000A07Q76,Adpter,3,-54
25:04.8,11000C0YLE000A07Q19,Adpter,3,-65
25:04.8,11000C0YLE000A07Q16,Adpter,3,-63
25:04.8,1000C0Y7LE000A07Q72,Adpter,3,-58.5
25:04.8,1000C50YLE000A07QN0,Adpter,3,-55
25:04.8,11000C0YLE000A07QA6,Adpter,3,-61
25:04.8,1000C0Y7LE000A07PY4,Adpter,3,-61
25:04.8,10004C0YLE000A07QM4,Adpter,3,-57.5
25:04.8,11000C0YLE000A07Q18,Adpter,3,-55
25:04.8,1000C0YL8E000A07Q88,Adpter,3,-51.5
25:04.8,10004C0YLE000A07QM9,Adpter,3,-57.5
25:04.8,10200C0YLE000A07PT6,Adpter,3,-52
25:04.8,1000C50YLE000A07Q56,Adpter,3,-54.5
25:04.8,1000C50YLE000A07PW5,Adpter,3,-60.5
25:04.8,10200C0YLE000A07PT5,Adpter,3,-53.5
25:04.8,11000C0YLE000A07PS7,Adpter,3,-61.5
25:04.8,10004C0YLE000A07QD6,Adpter,3,-55.5
25:04.8,1000C06YLE000A07PX2,Adpter,3,-60.5
25:04.8,1000C0Y7LE000A07QG9,Adpter,3,-54.5
25:04.8,1000C50YLE000A07PW8,Adpter,3,-52.5
25:04.8,1000C0Y7LE000A07QG6,Adpter,3,-52.5
25:04.9,1000C0YL8E000A07QH0,Adpter,3,-60.5
25:04.9,1000C50YLE000A07PW4,Adpter,3,-62
25:04.9,1000C50YLE000A07QN2,Adpter,3,-62
25:04.9,10030C0YLE000A07QC7,Adpter,3,-53
25:04.9,10200C0YLE000A07QB4,Adpter,3,-63
25:04.9,1000C0Y7LE000A07PY0,Adpter,3,-56.5
25:04.9,1000C0YL8E000A07Q86,Adpter,3,-63
25:04.9,1000C0YLE9000A07Q96,Adpter,3,-55
25:04.9,10004C0YLE000A07QD7,Adpter,3,-56
25:04.9,1000C0YL8E000A07Q87,Adpter,3,-61
25:04.9,10004C0YLE000A07QM8,Adpter,3,-52.5
25:04.9,11000C0YLE000A07PS2,Adpter,3,-57.5
25:04.9,1000C50YLE000A07PW0,Adpter,3,-58
25:04.9,1000C50YLE000A07PW2,Adpter,3,-51.5
25:04.9,1000C0Y7LE000A07QP1,Adpter,3,-58.5
25:04.9,1000C0YLE9000A07Q06,Adpter,3,-53
25:04.9,1000C0YLE9000A07Q05,Adpter,3,-61.5
25:04.9,1000C0Y7LE000A07Q71,Adpter,3,-62.5
25:04.9,1000C0YL8E000A07QQ8,Adpter,3,-62.5
25:04.9,10200C0YLE000A07QT9,Adpter,3,-60
25:04.9,11000C0YLE000A07PS0,Adpter,3,-63.5
25:04.9,11000C0YLE000A07QS8,Adpter,3,-60.5
25:04.9,1000C50YLE000A07PW3,Adpter,3,-58.5
25:04.9,11000C0YLE000A07QJ6,Adpter,3,-61
25:04.9,1000C06YLE000A07Q69,Adpter,3,-66.5
25:04.9,1000C0YL8E000A07PZ8,Adpter,3,-59.5
25:04.9,1000C0Y7LE000A07QP5,Adpter,3,-63.5
25:04.9,10004C0YLE000A07QD8,Adpter,3,-65.5
25:04.9,10030C0YLE000A07QL2,Adpter,3,-66.5
25:04.9,1000C0YLE9000A07Q91,Adpter,3,-64.5
25:04.9,1000C0Y7LE000A07QP5,Adpter,3,-64
25:04.9,1000C0Y7LE000A07QP5,Adpter,3,-63.5
25:04.9,10004C0YLE000A07QD9,Adpter,3,-66
25:04.9,10004C0YLE000A07Q44,Adpter,3,-68.5
25:04.9,10200C0YLE000A07PT2,Adpter,3,-52
25:04.9,1000C0YLE9000A07Q06,Adpter,3,-51.5
25:04.9,1000C50YLE000A07PW4,Adpter,3,-63
25:04.9,1000C0YL8E000A07QQ8,Adpter,3,-62.5
25:04.9,10200C0YLE000A07PT6,Adpter,3,-49.5
25:04.9,1000C50YLE000A07QE8,Adpter,3,-55.5
25:04.9,1000C0YL8E000A07Q82,Adpter,3,-54.5
25:04.9,1000C0Y7LE000A07QP1,Adpter,3,-56
25:04.9,1000C0Y7LE000A07Q78,Adpter,3,-53.5
25:04.9,11000C0YLE000A07PS2,Adpter,3,-58.5
25:04.9,1000C06YLE000A07Q69,Adpter,3,-62
25:04.9,1000C0Y7LE000A07Q76,Adpter,3,-53
25:04.9,1000C50YLE000A07QE7,Adpter,3,-51
25:04.9,1000C0Y7LE000A07QG9,Adpter,3,-51.5
25:04.9,1000C06YLE000A07Q65,Adpter,3,-59
25:04.9,10004C0YLE000A07QM7,Adpter,3,-52
25:04.9,10200C0YLE000A07QB8,Adpter,3,-42
25:04.9,10004C0YLE000A07QD8,Adpter,3,-65
25:04.9,1000C0Y7LE000A07PY4,Adpter,3,-61
25:04.9,11000C0YLE000A07PS6,Adpter,3,-59.5
25:04.9,1000C0YL8E000A07QQ0,Adpter,3,-61.5
25:04.9,10200C0YLE000A07PT5,Adpter,3,-56.5
25:04.9,10004C0YLE000A07QD6,Adpter,3,-56
25:04.9,11000C0YLE000A07PS4,Adpter,3,-58
25:04.9,1000C50YLE000A07PW8,Adpter,3,-53.5
25:04.9,10200C0YLE000A07PT3,Adpter,3,-62
25:04.9,1000C50YLE000A07QN0,Adpter,3,-55.5
25:04.9,10200C0YLE000A07QT9,Adpter,3,-61
25:04.9,10004C0YLE000A07QD5,Adpter,3,-53
25:04.9,1000C0YL8E000A07Q88,Adpter,3,-48
25:04.9,1000C0YLE9000A07Q92,Adpter,3,-63.5
25:04.9,10030C0YLE000A07QU7,Adpter,3,-41
25:04.9,11000C0YLE000A07Q15,Adpter,3,-50
25:04.9,10004C0YLE000A07QD7,Adpter,3,-55.5
25:04.9,11000C0YLE000A07PS7,Adpter,3,-54.5
25:04.9,1000C0Y7LE000A07QG7,Adpter,3,-63.5
25:04.9,1000C0Y7LE000A07Q71,Adpter,3,-64.5
25:04.9,1000C50YLE000A07PW2,Adpter,3,-52.5
25:04.9,1000C0Y7LE000A07QP5,Adpter,3,-64
25:04.9,10200C0YLE000A07PT1,Adpter,3,-59
25:04.9,1000C50YLE000A07Q56,Adpter,3,-54
25:04.9,1000C0Y7LE000A07QG6,Adpter,3,-48.5
25:04.9,1000C50YLE000A07PW5,Adpter,3,-55.5
25:04.9,1000C06YLE000A07QO8,Adpter,3,-55
25:04.9,10200C0YLE000A07PT0,Adpter,3,-60.5
25:05.2,1000C0YLE9000A07Q96,Adpter,3,-48.5
25:05.2,11000C0YLE000A07Q15,Adpter,3,-38.5
25:05.2,10030C0YLE000A07PU9,Adpter,3,-56.5
25:05.2,1000C0Y7LE000A07Q78,Adpter,3,-49.5
25:05.2,1000C0Y7LE000A07QP0,Adpter,3,-63.5
25:05.2,1000C0Y7LE000A07Q73,Adpter,3,-46.5
25:05.2,1000C0YLE9000A07QI2,Adpter,3,-55.5
25:05.2,1000C0YL8E000A07QH1,Adpter,3,-57
25:05.2,1000C0YL8E000A07QQ0,Adpter,3,-51.5
25:05.2,11000C0YLE000A07PS4,Adpter,3,-63
25:05.2,10030C0YLE000A07QU7,Adpter,3,-41.5
25:05.2,10200C0YLE000A07PT6,Adpter,3,-38
25:05.2,11000C0YLE000A07Q10,Adpter,3,-47
25:05.2,1000C0YLE9000A07Q09,Adpter,3,-42.5
25:05.2,1000C0YLE9000A07Q06,Adpter,3,-43
25:05.2,10004C0YLE000A07QM6,Adpter,3,-43
25:05.2,10200C0YLE000A07PT5,Adpter,3,-43.5
25:05.2,1000C50YLE000A07QN0,Adpter,3,-53
25:05.2,1000C0YLE9000A07Q97,Adpter,3,-48.5
25:05.2,10200C0YLE000A07QB8,Adpter,3,-37
25:05.2,1000C0YLE9000A07Q02,Adpter,3,-44.5
25:05.2,1000C06YLE000A07PX8,Adpter,3,-61
25:05.2,11000C0YLE000A07PS6,Adpter,3,-58.5
25:05.2,1000C0YL8E000A07PZ2,Adpter,3,-55.5
25:05.2,1000C50YLE000A07Q56,Adpter,3,-56
25:05.2,10004C0YLE000A07QM7,Adpter,3,-48.5
25:05.2,1000C0YL8E000A07QQ2,Adpter,3,-49
25:05.2,1000C50YLE000A07PW4,Adpter,3,-52
25:05.2,1000C06YLE000A07Q68,Adpter,3,-48.5
25:05.2,10004C0YLE000A07Q49,Adpter,3,-64
25:05.2,1000C06YLE000A07Q69,Adpter,3,-56.5
25:05.2,1000C0Y7LE000A07Q79,Adpter,3,-48.5
25:05.2,1000C0Y7LE000A07PY8,Adpter,3,-51
25:05.2,1000C0Y7LE000A07QG6,Adpter,3,-49.5
25:05.2,1000C50YLE000A07PW8,Adpter,3,-47
25:05.2,11000C0YLE000A07Q14,Adpter,3,-40
25:05.2,1000C0YLE9000A07Q95,Adpter,3,-54.5
25:05.2,1000C50YLE000A07QE8,Adpter,3,-56.5
25:05.2,1000C0Y7LE000A07QP5,Adpter,3,-59
25:05.2,10004C0YLE000A07PV7,Adpter,3,-52.5
25:05.2,10004C0YLE000A07Q46,Adpter,3,-50.5
25:05.2,10004C0YLE000A07PV3,Adpter,3,-59
25:05.2,10004C0YLE000A07PV0,Adpter,3,-51
25:05.2,1000C06YLE000A07QO9,Adpter,3,-62.5
25:05.2,11000C0YLE000A07PS5,Adpter,3,-55
25:05.2,1000C50YLE000A07Q52,Adpter,3,-54.5
25:05.2,11000C0YLE000A07PS2,Adpter,3,-53.5
25:05.2,1000C06YLE000A07QO1,Adpter,3,-62
25:05.2,1000C0YLE9000A07Q07,Adpter,3,-59
25:05.3,1000C0Y7LE000A07QP2,Adpter,3,-59.5
25:05.3,10030C0YLE000A07QC5,Adpter,3,-57
25:05.3,1000C0YLE9000A07Q90,Adpter,3,-56
25:05.3,1000C0YL8E000A07PZ6,Adpter,3,-59
25:05.3,10200C0YLE000A07PT9,Adpter,3,-55
25:05.3,11000C0YLE000A07QJ5,Adpter,3,-64
25:05.3,1000C0Y7LE000A07QG9,Adpter,3,-55.5
25:05.3,1000C0YLE9000A07Q98,Adpter,3,-62
