Time,Tag,Reader,Antenna,rssi
11:58.4,10004C0YLE000A07QM1,Adpter,3,-65
11:58.4,0000000000000000000000F1,Adpter,3,-66.5
11:58.4,10004C0YLE000A07QM1,Adpter,3,-66
12:01.1,0000000000000000000000F1,Adpter,3,-67
12:01.1,0000000000000000000000F1,Adpter,3,-67
12:11.3,10200C0YLE000A07PT5,Adpter,3,-68
12:11.6,1000C0YLE9000A07Q94,Adpter,3,-67.5
12:11.9,1000C50YLE000A07QE6,Adpter,3,-65
12:11.9,10004C0YLE000A07QM9,Adpter,3,-65.5
12:11.9,1000C50YLE000A07QE6,Adpter,3,-65
12:12.1,10004C0YLE000A07QM8,Adpter,3,-66
12:12.1,1000C50YLE000A07QE6,Adpter,3,-65.5
12:12.1,1000C50YLE000A07QE6,Adpter,3,-65
12:12.3,1000C50YLE000A07QE6,Adpter,3,-64
12:12.3,1000C50YLE000A07QE4,Adpter,3,-66.5
12:12.3,1000C0YL8E000A07Q84,Adpter,3,-63
12:12.3,1000C0Y7LE000A07QG7,Adpter,3,-61
12:12.3,1000C06YLE000A07Q68,Adpter,3,-62.5
12:12.3,1000C50YLE000A07QN0,Adpter,3,-65.5
12:12.3,1000C0YLE9000A07Q03,Adpter,3,-63.5
12:12.3,10200C0YLE000A07QB8,Adpter,3,-62
12:12.3,1000C0Y7LE000A07QG8,Adpter,3,-64
12:12.3,10004C0YLE000A07QM1,Adpter,3,-65.5
12:12.3,1000C0YLE9000A07Q03,Adpter,3,-63.5
12:12.3,1000C06YLE000A07Q68,Adpter,3,-62
12:12.5,1000C50YLE000A07QN2,Adpter,3,-56
12:12.5,10200C0YLE000A07QB5,Adpter,3,-63.5
12:12.5,1000C06YLE000A07QF7,Adpter,3,-64
12:12.5,1000C50YLE000A07QE8,Adpter,3,-66.5
12:12.5,1000C06YLE000A07PX3,Adpter,3,-62.5
12:12.5,1000C50YLE000A07QE9,Adpter,3,-59.5
12:12.5,1000C0Y7LE000A07QG6,Adpter,3,-60.5
12:12.5,1000C0YLE9000A07Q03,Adpter,3,-64
