Time,Tag,Reader,Antenna,rssi
50:04.3,10004C0YLE000A07PV5,Adpter,4,-62
50:04.3,10004C0YLE000A07PV5,Adpter,4,-62
50:04.3,1000C0YL8E000A07PZ3,Adpter,4,-64
50:04.3,10004C0YLE000A07PV5,Adpter,4,-62
50:04.3,10004C0YLE000A07PV5,Adpter,4,-62.5
50:04.3,1000C0YL8E000A07PZ3,Adpter,4,-63.5
50:04.5,10004C0YLE000A07PV9,Adpter,4,-69.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-65.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-64
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62
50:06.3,1000C50YLE000A07QE9,Adpter,4,-66.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-64
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-64
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-64.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-69
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-61.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-61.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-64
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-64
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-59.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60
50:06.3,10004C0YLE000A07PV9,Adpter,4,-69
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-59.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-67.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61
50:06.3,10200C0YLE000A07QB8,Adpter,4,-68
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-69
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-64
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69
50:06.3,10004C0YLE000A07PV9,Adpter,4,-69.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68.5
50:06.3,10200C0YLE000A07QB8,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-69
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-60.5
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,10200C0YLE000A07QB8,Adpter,4,-69
50:06.3,10004C0YLE000A07PV5,Adpter,4,-62
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,10200C0YLE000A07QB8,Adpter,4,-68
50:06.3,10004C0YLE000A07PV5,Adpter,4,-61
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-63
50:06.3,10200C0YLE000A07QB8,Adpter,4,-68.5
50:06.3,10004C0YLE000A07PV9,Adpter,4,-68
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-63.5
50:06.3,1000C0Y7LE000A07PY6,Adpter,4,-63
50:06.3,10004C0YLE000A07PV5,Adpter,4,-59.5
50:06.3,1000C0YL8E000A07PZ3,Adpter,4,-62.5
50:06.3,10004C0YLE000A07PV5,Adpter,4,-59.5
