Time,Tag,Reader,Antenna,rssi
02:53.7,10004C0YLE000A07PV5,Adpter,4,-64
02:53.7,10004C0YLE000A07QM1,Adpter,4,-63
02:53.7,10200C0YLE000A07PT5,Adpter,4,-68.5
02:53.7,10004C0YLE000A07QM0,Adpter,4,-62.5
02:53.7,10004C0YLE000A07QM1,Adpter,4,-62.5
02:53.7,10004C0YLE000A07PV5,Adpter,4,-64
02:53.7,10200C0YLE000A07PT5,Adpter,4,-67.5
02:53.7,10004C0YLE000A07PV5,Adpter,4,-64
02:53.7,10004C0YLE000A07QM1,Adpter,4,-64.5
02:53.7,10200C0YLE000A07PT5,Adpter,4,-66.5
02:53.7,10004C0YLE000A07PV5,Adpter,4,-63.5
02:53.7,10200C0YLE000A07PT5,Adpter,4,-67
02:53.9,10200C0YLE000A07PT5,Adpter,4,-68.5
02:55.7,10200C0YLE000A07PT5,Adpter,4,-69.5
02:55.7,10200C0YLE000A07PT5,Adpter,4,-69.5
02:55.7,10200C0YLE000A07PT5,Adpter,4,-69
02:55.7,10004C0YLE000A07QM1,Adpter,4,-67
02:55.7,10004C0YLE000A07QM1,Adpter,4,-67
02:55.7,10004C0YLE000A07QM1,Adpter,4,-67
02:55.7,10200C0YLE000A07PT5,Adpter,4,-69.5
02:55.7,1000C06YLE000A07QO8,Adpter,4,-68.5
02:55.7,10200C0YLE000A07PT5,Adpter,4,-68.5
02:56.4,10200C0YLE000A07QB8,Adpter,4,-68.5
02:56.7,10200C0YLE000A07PT5,Adpter,4,-68.5
02:56.7,10200C0YLE000A07PT5,Adpter,4,-69
02:56.7,10200C0YLE000A07PT5,Adpter,4,-68
02:56.7,10200C0YLE000A07PT5,Adpter,4,-68.5
02:57.2,10004C0YLE000A07PV5,Adpter,4,-65.5
02:57.4,10004C0YLE000A07PV5,Adpter,4,-65
02:58.4,10200C0YLE000A07PT5,Adpter,4,-67.5
02:58.4,10200C0YLE000A07PT5,Adpter,4,-66.5
02:58.4,10200C0YLE000A07PT5,Adpter,4,-65.5
02:58.4,10200C0YLE000A07PT5,Adpter,4,-66
02:58.7,10004C0YLE000A07QM9,Adpter,4,-69
02:58.7,10004C0YLE000A07PV5,Adpter,4,-66.5
02:58.7,10004C0YLE000A07PV5,Adpter,4,-66
02:58.7,10004C0YLE000A07PV5,Adpter,4,-67
02:58.7,10004C0YLE000A07PV5,Adpter,4,-67.5
02:59.6,1000C0Y7LE000A07PY6,Adpter,4,-65
02:59.6,10200C0YLE000A07PT5,Adpter,4,-66.5
02:59.6,10004C0YLE000A07PV5,Adpter,4,-64
02:59.6,10200C0YLE000A07PT5,Adpter,4,-66.5
02:59.7,10004C0YLE000A07PV5,Adpter,4,-62
02:59.7,1000C0Y7LE000A07PY6,Adpter,4,-64
02:59.7,1000C0YLE9000A07Q94,Adpter,4,-68.5
02:59.7,10004C0YLE000A07QM0,Adpter,4,-66
02:59.7,1000C0YLE9000A07Q94,Adpter,4,-65
02:59.7,10200C0YLE000A07PT5,Adpter,4,-64
02:59.7,1000C0YL8E000A07QH1,Adpter,4,-67
02:59.7,10004C0YLE000A07QM7,Adpter,4,-67
02:59.7,10004C0YLE000A07PV5,Adpter,4,-60
02:59.7,1000C0Y7LE000A07QP3,Adpter,4,-63
02:59.7,10004C0YLE000A07QM1,Adpter,4,-68.5
02:59.7,1000C0Y7LE000A07PY6,Adpter,4,-63.5
02:59.7,1000C0Y7LE000A07QG6,Adpter,4,-65.5
02:59.7,10004C0YLE000A07QM8,Adpter,4,-66
02:59.7,1000C0YLE9000A07Q05,Adpter,4,-62.5
02:59.7,1000C0YLE9000A07Q04,Adpter,4,-66
02:59.7,1000C0Y7LE000A07QP3,Adpter,4,-63
02:59.7,1000C0Y7LE000A07PY6,Adpter,4,-64.5
02:59.7,10200C0YLE000A07PT5,Adpter,4,-66
