Time,Tag,Reader,Antenna,rssi
35:06.4,10200C0YLE000A07PT5,Adpter,4,-66.5
35:06.4,10200C0YLE000A07PT5,Adpter,4,-67.5
35:06.4,10200C0YLE000A07PT5,Adpter,4,-66
35:06.4,10200C0YLE000A07PT5,Adpter,4,-66.5
35:06.4,10200C0YLE000A07PT5,Adpter,4,-67
35:06.6,10200C0YLE000A07PT5,Adpter,4,-67.5
35:06.6,10200C0YLE000A07PT5,Adpter,4,-68.5
35:06.6,10200C0YLE000A07PT5,Adpter,4,-68.5
35:06.9,10200C0YLE000A07PT5,Adpter,4,-67
35:06.9,1000C0YLE9000A07Q03,Adpter,4,-69.5
35:06.9,10200C0YLE000A07PT5,Adpter,4,-67
35:07.1,10200C0YLE000A07PT5,Adpter,4,-68.5
35:07.1,10200C0YLE000A07PT5,Adpter,4,-68.5
35:07.1,1000C0YLE9000A07Q03,Adpter,4,-67.5
35:07.1,10200C0YLE000A07PT5,Adpter,4,-68
35:07.1,1000C0YLE9000A07Q03,Adpter,4,-65.5
35:07.1,10200C0YLE000A07PT5,Adpter,4,-68
35:07.1,1000C0YLE9000A07Q03,Adpter,4,-65
35:07.1,10200C0YLE000A07PT5,Adpter,4,-67
35:07.1,1000C0YLE9000A07Q03,Adpter,4,-65.5
35:07.1,1000C0YLE9000A07Q03,Adpter,4,-65
35:07.1,10200C0YLE000A07PT5,Adpter,4,-67
35:07.4,1000C0YLE9000A07Q03,Adpter,4,-65
35:07.4,1000C50YLE000A07PW4,Adpter,4,-68.5
35:07.4,1000C0YLE9000A07Q03,Adpter,4,-65.5
35:07.4,1000C50YLE000A07PW4,Adpter,4,-67.5
35:07.4,1000C50YLE000A07PW4,Adpter,4,-66
35:07.4,1000C0YLE9000A07Q03,Adpter,4,-64.5
35:07.4,10200C0YLE000A07PT5,Adpter,4,-67
35:07.4,1000C50YLE000A07PW4,Adpter,4,-65.5
35:07.4,10200C0YLE000A07PT5,Adpter,4,-66.5
35:07.4,1000C0YLE9000A07Q03,Adpter,4,-64.5
35:07.4,10200C0YLE000A07PT5,Adpter,4,-66.5
35:07.4,10004C0YLE000A07PV5,Adpter,4,-65.5
35:07.4,1000C0YLE9000A07Q03,Adpter,4,-67
35:07.4,1000C50YLE000A07PW4,Adpter,4,-64
35:07.4,1000C50YLE000A07QE9,Adpter,4,-67
35:07.4,1000C50YLE000A07QE7,Adpter,4,-64.5
35:07.4,1000C50YLE000A07PW2,Adpter,4,-66
35:07.6,10004C0YLE000A07PV5,Adpter,4,-65
35:07.6,1000C50YLE000A07PW2,Adpter,4,-66
35:07.6,1000C50YLE000A07PW4,Adpter,4,-65.5
35:07.6,10200C0YLE000A07PT5,Adpter,4,-68
35:07.6,1000C0YLE9000A07Q03,Adpter,4,-66.5
35:07.6,1000C50YLE000A07PW5,Adpter,4,-68
35:07.6,1000C0YLE9000A07Q03,Adpter,4,-64.5
35:07.6,10200C0YLE000A07PT5,Adpter,4,-67
