Time,Tag,Reader,Antenna,rssi
46:00.8,10030C0YLE000A07QC0,Adpter,3,-64
46:00.8,10030C0YLE000A07QC0,Adpter,3,-63
46:00.8,1000C50YLE000A07Q53,Adpter,3,-65
46:01.0,10200C0YLE000A07QB9,Adpter,3,-64.5
46:01.0,10030C0YLE000A07QC1,Adpter,3,-65.5
46:01.0,1000C0Y7LE000A07QG9,Adpter,3,-65.5
46:01.0,10200C0YLE000A07QB9,Adpter,3,-64.5
46:01.3,10030C0YLE000A07QC0,Adpter,3,-63
46:01.3,10200C0YLE000A07QB9,Adpter,3,-63.5
46:01.3,1000C0Y7LE000A07QG9,Adpter,3,-64
46:01.3,10030C0YLE000A07QC0,Adpter,3,-63.5
46:01.3,10200C0YLE000A07QB9,Adpter,3,-64
46:01.3,1000C50YLE000A07QN0,Adpter,3,-67
46:01.5,10004C0YLE000A07QM7,Adpter,3,-64.5
46:01.5,10004C0YLE000A07QM8,Adpter,3,-62
46:01.5,10004C0YLE000A07QM9,Adpter,3,-66
46:01.5,10004C0YLE000A07QM8,Adpter,3,-61.5
46:01.5,10004C0YLE000A07QM7,Adpter,3,-65.5
46:01.5,10030C0YLE000A07QU3,Adpter,3,-65
46:01.5,1000C06YLE000A07QO8,Adpter,3,-67.5
46:02.0,1000C0YLE9000A07Q05,Adpter,4,-69.5
46:02.0,1000C0YLE9000A07Q05,Adpter,4,-67.5
46:02.0,1000C0YL8E000A07QH0,Adpter,3,-67.5
46:02.0,10030C0YLE000A07QC0,Adpter,3,-63
46:02.0,10030C0YLE000A07QC0,Adpter,3,-62.5
46:02.0,10030C0YLE000A07QC0,Adpter,3,-63.5
46:02.0,10030C0YLE000A07QC0,Adpter,3,-63
46:02.2,10200C0YLE000A07QB9,Adpter,3,-65
46:02.2,10030C0YLE000A07QC3,Adpter,3,-63
46:02.2,1000C0YLE9000A07Q05,Adpter,3,-65.5
46:02.2,10030C0YLE000A07QC0,Adpter,3,-61.5
46:02.2,1000C0YLE9000A07Q04,Adpter,3,-67.5
46:02.2,10200C0YLE000A07QB9,Adpter,3,-64
46:02.2,1000C0YLE9000A07Q05,Adpter,3,-62.5
46:02.2,10030C0YLE000A07QC0,Adpter,3,-61.5
46:02.2,1000C0YLE9000A07Q04,Adpter,3,-66
46:02.2,1000C0Y7LE000A07QG9,Adpter,3,-60.5
46:02.2,10200C0YLE000A07QB8,Adpter,3,-64
46:02.2,11000C0YLE000A07Q17,Adpter,3,-66.5
46:02.2,10200C0YLE000A07PT7,Adpter,3,-63.5
46:02.2,11000C0YLE000A07Q16,Adpter,3,-66
46:02.2,10030C0YLE000A07QC0,Adpter,3,-61
46:02.2,1000C0YLE9000A07Q05,Adpter,3,-62.5
46:02.2,1000C0YLE9000A07Q04,Adpter,3,-63
46:02.2,10200C0YLE000A07QB9,Adpter,3,-64
46:02.2,10004C0YLE000A07QM7,Adpter,3,-66
46:02.2,1000C0Y7LE000A07QP7,Adpter,3,-64.5
46:02.2,10200C0YLE000A07PT8,Adpter,3,-63.5
46:02.2,1000C0YLE9000A07Q03,Adpter,3,-66.5
46:02.2,11000C0YLE000A07Q18,Adpter,3,-66
46:02.3,1000C0YLE9000A07Q05,Adpter,3,-59.5
46:02.3,1000C0Y7LE000A07QP7,Adpter,3,-63
46:02.3,10200C0YLE000A07QB9,Adpter,3,-64.5
46:02.3,1000C0Y7LE000A07QG9,Adpter,3,-58
46:02.3,10200C0YLE000A07QB8,Adpter,3,-63
