Time,Tag,Reader,Antenna,rssi
44:30.7,1000C0Y7LE000A07QG9,Adpter,4,-69
44:35.7,1000C50YLE000A07Q51,Adpter,4,-68.5
44:35.7,1000C50YLE000A07Q51,Adpter,4,-69
44:35.7,1000C50YLE000A07Q51,Adpter,4,-69
44:36.5,10004C0YLE000A07QM8,Adpter,4,-65.5
44:36.5,10004C0YLE000A07QM8,Adpter,4,-65
44:36.5,10004C0YLE000A07QM8,Adpter,4,-63.5
44:36.5,10004C0YLE000A07QM8,Adpter,4,-63.5
44:36.5,10004C0YLE000A07QM8,Adpter,4,-63
44:36.5,1000C50YLE000A07PW5,Adpter,4,-67
44:36.5,10004C0YLE000A07QM8,Adpter,4,-63.5
44:37.2,10004C0YLE000A07PV9,Adpter,4,-67
44:37.2,10030C0YLE000A07QC7,Adpter,4,-69.5
44:37.2,10030C0YLE000A07QU7,Adpter,4,-67
44:37.5,10004C0YLE000A07QM7,Adpter,4,-65
44:37.5,10200C0YLE000A07QB8,Adpter,4,-67
44:37.5,1000C50YLE000A07Q51,Adpter,4,-69.5
44:37.5,10004C0YLE000A07QM7,Adpter,4,-66
44:37.7,1000C0Y7LE000A07QG9,Adpter,4,-63
44:37.7,10200C0YLE000A07QB9,Adpter,4,-62
44:37.7,1000C50YLE000A07QN3,Adpter,4,-58.5
44:37.7,10004C0YLE000A07QM9,Adpter,4,-65.5
44:37.7,10004C0YLE000A07QM7,Adpter,4,-62.5
44:37.7,10004C0YLE000A07QM8,Adpter,4,-57.5
44:37.7,1000C50YLE000A07QN2,Adpter,4,-67.5
44:37.7,1000C0Y7LE000A07QG9,Adpter,4,-61.5
44:37.7,1000C50YLE000A07Q51,Adpter,4,-65
44:37.7,1000C06YLE000A07QO9,Adpter,4,-69
44:37.7,1000C50YLE000A07QN2,Adpter,4,-68
44:37.7,10004C0YLE000A07QM8,Adpter,4,-58
44:37.7,10200C0YLE000A07QB9,Adpter,4,-61.5
44:37.7,1000C0Y7LE000A07QG9,Adpter,4,-61.5
44:37.7,10004C0YLE000A07QM7,Adpter,4,-63
44:37.7,10004C0YLE000A07QM9,Adpter,4,-66
44:37.7,1000C50YLE000A07QN3,Adpter,4,-58
44:37.7,1000C50YLE000A07Q51,Adpter,4,-65.5
44:37.7,1000C0Y7LE000A07QG9,Adpter,4,-60
44:37.7,1000C50YLE000A07QN3,Adpter,4,-58.5
44:37.7,1000C50YLE000A07Q53,Adpter,4,-69
44:37.7,10004C0YLE000A07QM7,Adpter,4,-62.5
44:37.7,10200C0YLE000A07QB9,Adpter,4,-63
44:37.7,10004C0YLE000A07QM6,Adpter,4,-64
